"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-79","80+"
"0-9",11.33445,2.36268,1.87734,3.38637,1.80187,1.10035,0.76734,0.32167,0.289503
"10-19",3.41704,28.55611,2.5986,2.37159,3.1318,1.05768,0.46474,0.2761,0.289503
"20-29",1.60143,3.89095,11.27258,5.59868,4.3392,2.86018,0.71443,0.23904,0.24849
"30-39",3.22799,2.26413,4.74079,8.78123,5.72515,3.16643,1.14675,0.31649,0.215136
"40-49",2.01906,3.44604,3.93024,5.84426,7.42856,3.38948,0.98234,0.3772,0.284841
"50-59",2.64478,2.86574,4.69179,5.16775,5.82556,5.71257,1.60827,0.43974,0.33948
"60-69",3.99913,2.62747,3.0988,4.61512,3.71367,3.47673,3.33102,0.95406,0.395766
"70-79",2.49339,2.89961,1.20654,2.12282,2.5539,1.76729,2.06667,1.80809,1.0686555
"80+",2.244051,2.244051,2.609649,1.085886,1.910538,2.29851,1.590561,2.843517,2.6995325
